CNT,CNTRYID,CNTSCHID,CNTSTUID,ESCS,ST004D01T,ST001D01T,REPEAT,DISCLIM,TEACHSUP,COGACRCO,COGACMCO,W_FSTUWT,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH
COL,170.0,17000106.0,17000039.0,-0.1075,2.0,8.0,0.0,0.1325,1.5558,-0.979,-0.3991,91.88616,400.176,402.223,395.178,381.809,445.25,397.833,413.327,400.288,404.879,406.67
COL,170.0,17000002.0,17000040.0,-1.8037,2.0,10.0,0.0,1.1779,1.5558,,,67.81343,283.891,329.017,381.449,352.086,290.934,321.257,333.51,350.027,352.404,313.244
COL,170.0,17000182.0,17000043.0,-3.3391,1.0,10.0,0.0,1.8286,-0.1002,-0.424,0.3093,83.2001,391.767,366.197,362.629,364.485,377.761,323.539,353.087,386.859,342.598,354.676
COL,170.0,17000084.0,17000044.0,,2.0,8.0,1.0,,,,,38.25741,296.433,317.327,329.983,301.265,283.706,340.428,311.81,365.515,332.167,334.529
COL,170.0,17000135.0,17000045.0,,2.0,8.0,,,,,,44.32093,374.581,394.143,379.884,377.283,361.124,395.711,380.228,388.641,382.871,353.867
COL,170.0,17000171.0,17000046.0,-1.3926,1.0,10.0,0.0,0.4628,1.5558,0.7973,0.6522,24.35633,473.906,446.577,444.687,457.711,440.638,420.2,451.968,414.507,412.753,425.66
COL,170.0,17000085.0,17000047.0,-2.2261,2.0,7.0,1.0,-0.8589,-0.5635,-0.8057,,67.89632,339.433,338.059,329.513,350.459,384.429,346.654,343.694,363.338,328.601,364.388
COL,170.0,17000005.0,17000048.0,0.1263,1.0,10.0,0.0,0.4522,0.1475,0.0757,0.4144,69.81654,508.256,450.466,491.454,531.793,497.045,484.478,422.674,453.277,537.184,460.225
COL,170.0,17000230.0,17000049.0,-2.2353,2.0,7.0,1.0,0.2007,-0.1002,-0.4355,-0.337,57.48667,338.892,368.431,340.139,404.352,401.65,392.101,371.709,326.667,351.192,372.779
COL,170.0,17000141.0,17000050.0,-1.812,1.0,8.0,1.0,-0.3306,1.5558,0.2748,-1.755,39.9014,393.583,361.618,405.314,396.108,430.443,358.101,424.74,370.55,417.466,404.584
COL,170.0,17000006.0,17000051.0,-1.1425,2.0,10.0,0.0,0.4426,1.5558,-0.5265,0.6355,108.0163,385.686,351.316,386.637,389.829,346.24,357.934,332.302,397.545,411.415,347.616
COL,170.0,17000236.0,17000052.0,0.5694,2.0,11.0,0.0,0.801,1.5558,0.1151,1.2235,89.64665,346.671,375.34,373.662,359.067,344.125,358.136,389.158,391.312,368.694,351.254
COL,170.0,17000210.0,17000053.0,0.5413,1.0,8.0,1.0,0.6868,1.5558,0.6622,0.9062,111.6415,370.873,350.723,383.655,377.714,404.721,400.343,362.128,418.7,392.865,362.717
COL,170.0,17000082.0,17000054.0,0.8442,2.0,11.0,0.0,0.7793,1.5558,0.4093,0.4294,45.93108,483.834,477.113,447.301,487.52,489.938,470.526,467.447,447.899,477.508,480.064
COL,170.0,17000237.0,17000055.0,-2.4538,2.0,9.0,0.0,-1.307,,-0.1453,0.6839,84.46349,326.444,322.358,359.504,317.113,318.578,353.964,321.178,330.794,321.026,345.123
COL,170.0,17000225.0,17000056.0,0.1848,2.0,10.0,0.0,-0.5532,1.5558,0.673,-0.27,80.75022,563.675,552.193,587.748,583.603,633.487,584.623,573.763,597.118,572.614,617.377
COL,170.0,17000146.0,17000057.0,-0.8779,1.0,7.0,1.0,-0.6957,1.5558,3.4447,2.2297,90.40362,310.205,313.358,319.016,311.559,327.157,336.327,340.65,311.358,290.421,305.902
