CNT,CNTRYID,CNTSCHID,W_SCHGRNRABWT
COL,170.0,17000179.0,19.75382
COL,170.0,17000180.0,69.75592
COL,170.0,17000181.0,156.731
COL,170.0,17000182.0,74.85667
COL,170.0,17000183.0,24.95222
COL,170.0,17000184.0,39.37004
COL,170.0,17000186.0,37.03435
COL,170.0,17000187.0,11.17031
COL,170.0,17000188.0,149.477
COL,170.0,17000189.0,52.31694
COL,170.0,17000190.0,39.98027
COL,170.0,17000191.0,149.477
COL,170.0,17000192.0,28.37309
COL,170.0,17000193.0,83.76818
COL,170.0,17000194.0,156.731
COL,170.0,17000195.0,15.70653
COL,170.0,17000196.0,39.09182
COL,170.0,17000197.0,15.70653
COL,170.0,17000198.0,48.29256
COL,170.0,17000199.0,83.76818
COL,170.0,17000200.0,149.477
COL,170.0,17000201.0,45.49299
COL,170.0,17000202.0,74.73849
COL,170.0,17000203.0,179.1212
COL,170.0,17000204.0,20.21991
COL,170.0,17000205.0,16.91473
COL,170.0,17000206.0,36.26782
COL,170.0,17000207.0,30.32986
COL,170.0,17000208.0,16.53945
COL,170.0,17000209.0,17.8725
COL,170.0,17000210.0,54.97287
COL,170.0,17000211.0,156.731
COL,170.0,17000212.0,83.76818
COL,170.0,17000213.0,44.99433
COL,170.0,17000214.0,33.75286
COL,170.0,17000215.0,27.92273
COL,170.0,17000216.0,14.47845
COL,170.0,17000217.0,25.49466
COL,170.0,17000218.0,156.731
COL,170.0,17000219.0,29.31886
COL,170.0,17000220.0,5.6076
COL,170.0,17000221.0,156.731
COL,170.0,17000222.0,7.95175
COL,170.0,17000223.0,7.33052
COL,170.0,17000224.0,83.76818
COL,170.0,17000225.0,32.88097
COL,170.0,17000226.0,74.73849
COL,170.0,17000227.0,9.50882
COL,170.0,17000228.0,74.73849
COL,170.0,17000229.0,5.91991
COL,170.0,17000230.0,31.64761
COL,170.0,17000231.0,149.477
COL,170.0,17000232.0,7.08156
COL,170.0,17000233.0,74.73849
COL,170.0,17000234.0,71.8013
COL,170.0,17000235.0,44.99433
COL,170.0,17000236.0,61.72392
COL,170.0,17000237.0,74.73849
COL,170.0,17000238.0,33.82946
COL,170.0,17000239.0,149.477
COL,170.0,17000240.0,55.84545
COL,170.0,17000241.0,29.81579
COL,170.0,17000242.0,78.18364
COL,170.0,17000243.0,33.51094
COL,170.0,17000244.0,68.06707
COL,170.0,17000245.0,22.84587
COL,170.0,17000246.0,50.6293
COL,170.0,17000247.0,89.98866
COL,170.0,17000248.0,23.62202
COL,170.0,17000249.0,13.63668
COL,170.0,17000250.0,34.49278
COL,170.0,17000251.0,74.73849
COL,170.0,17000252.0,15.88035
COL,170.0,17000253.0,11.27649
COL,170.0,17000254.0,10.59718
COL,170.0,17000255.0,74.73849
COL,170.0,17000256.0,43.43535
COL,170.0,17000257.0,1.66
COL,170.0,17000258.0,7.65964
COL,170.0,17000259.0,78.36551
COL,170.0,17000260.0,35.90065
COL,170.0,17000261.0,149.477
COL,170.0,17000262.0,25.70703
COL,170.0,17000263.0,26.06121
COL,170.0,17000264.0,16.28826
